Text,Date,Cheerfullness,Negativity,Anger,Analytical,Confident,Tentative,Openness,Conscientiousness,Agreeableness,Sent. Type,Sent. Score
I live here.  What about you?,3/11/07 1:18,0,0,0,0,0,0,-0.27,-0.018333333,0.21,-0.239368,negative
It's a road trip!  San Francisco or bust.  Last night Santa Fe.  Tonight... Sedona.,2/1/09 17:38,0,0,0,0.011,0,0.011,-0.059285714,0.007142857,0.033571429,0.519668,positive
"Blew through Sedona, and pulled into San Francisco last night.  Heading down to TED today...",2/3/09 14:32,0,0,0,0,0,0,-0.020666667,0.018,0.066,-0.326141,negative
at TED...,2/4/09 15:58,0,0,0,0,0,0,0.085,0,0,0.27473,positive
TED talk about flying wings (kites) above 300 ft. 1 kite supplies electricity for 5 houses.,2/5/09 1:17,0,0,0,0,0,0,-0.066875,-0.008125,0.075625,0.233284,positive
Olafure Eliasson has today's quote (so far):  right between thinking and doing lies experience...,2/5/09 17:28,0,0.018333333,0,0.018333333,0,0,-0.049285714,-0.014285714,0.033571429,0.82059,positive
"Listening to evan Williams, CEO of twitted, at TED. May have to re-think my view of this platform...",2/6/09 22:46,0,0,0,0,0,0.015,-0.029444444,-0.029444444,0.045555556,0.185854,positive
"Wide awake 4am in Honolulu. Toggling between being upset about not sleeping, and not wanting to miss any of the birdsongs I'm hearing...",2/28/09 14:36,0,0,0,0,0,0,-0.057826087,-0.055652174,0.047826087,-0.632686,negative
Aching from Meredith's death hike on Oahu... But I think we found one of the Dharma Initiative's hatches...,3/2/09 18:37,0,0.012692308,0,0.050769231,0,0,-0.113888889,-0.046111111,0.069444444,-0.485584,negative
Just read pre-release copy of Jacqueline Novogratz's 'Blue Sweater'; documents startup of The Acumen Fund. Thought-provoking & insightful,3/4/09 18:16,0,0,0,0.0132,0,0.0132,0.014705882,-0.019411765,-0.001176471,0.691489,positive
"Very happy that the President appointed a CTO; key to driving innovation, not just economy, in government.",3/5/09 19:48,0,0,0,0,0,0,0.007058824,-0.020588235,0.031176471,0.458503,positive
Silona was right... swimming with turtles is pretty cool.  next stop royal hawaiian hotel and 101 yr old ukelele player...,3/7/09 17:14,0.009705882,0.029117647,0,0,0,0,-0.051666667,-0.043333333,0.011111111,0,neutral
"San Diego's Green Flash Brewing Co. ""Le Freak"" an excellent choice of beer for a Saturday afternoon...",3/14/09 23:20,0.031428571,0.015714286,0,0,0,0,-0.006470588,0.022941176,0.022941176,0.821199,positive
Standing in line at continental club waiting for bill frisell & greg leisz show. Good sxsw kickoff!,3/15/09 23:53,0.01375,0,0,0,0,0.01375,-0.01125,-0.013125,0.0375,0.435841,positive
"Phil Cunningham, Jr. Sitting at Continental Club (yes, we got seats!) beats sitting on a hydraulically challenged MD-80. When will AA ground those things",3/15/09 23:58,0.020625,0,0,0,0,0,-0.0525,0.02,0.06125,-0.266434,negative
"Quote of sxsw from Jon Dee Graham & McMurtry:  it's not Good vs. Evil, it's Everything vs. Nothing!",3/21/09 19:18,0,0,0.058823529,0,0,0,-0.102941176,-0.041764706,0.030588235,-0.459878,negative
Richard Veryard Ford used standardization of task to drive down costs. I'm suggesting 'standardization' of transparency to drive down risk.,4/3/09 20:40,0.011785714,0,0,0,0,0,-0.0735,0,0.06,-0.400405,negative
and I will be at 300.,4/4/09 12:56,0.024444444,0,0,0,0,0,-0.072666667,0.018,0.093333333,0,neutral
and I will be at 300 Bowl today for the Austin Cup bowl-off. Battle of Titans: Lombardi vs. S3...,4/4/09 12:57,0,0,0,0,0,0,-0.010526316,0.009473684,0.031578947,-0.27771,negative
Tweetdeck  a great Twitter app... could make this d*%# thing more enjoyable... still can't quite figure out how to integrate it into my life,4/4/09 16:31,0,0,0,0,0,0,-0.05625,-0.043333333,0.042916667,-0.20395,negative
I Love You.,4/4/09 17:06,0.094285714,0,0,0,0,0,-0.6,0,0.356666667,0.708768,positive
Bowling. Therefore must find beer.,4/4/09 18:11,0,0,0,0,0,0,-0.13375,-0.04375,0.09875,0,neutral
Found the beer.  Bowling unimproved.,4/4/09 18:30,0,0,0,0.050769231,0,0,-0.058,-0.028,0.016,0.0525505,positive
Flipnotics on a Sunday morning makes you feel like this world's gonna be alright after all...,4/5/09 15:54,0.033,0,0,0,0.05,0.0165,-0.143125,0.001875,0.108125,0.628991,positive
Bruce!,4/6/09 0:13,0,0,0,0,0,0,0,0,0,0.456023,positive
"The meat of the set.  Seeds, sadly still appropriate, and then a segue into Johnny 99, with a middle 8 of sympathy for the devil.",4/6/09 2:11,0,0.01,0,0,0,0,0.0628,0.0144,0.0356,-0.225067,negative
"One trick pony is Bruce's best song in years. Beautiful. ""if you've ever seen a 1 trick pony, then you've seen me""",4/6/09 3:01,0.029117647,0.019411765,0.090909091,0,0,0,-0.163181818,-0.032727273,0.089545455,0.674454,positive
Finally figured out diff between FB & The Twitter. Still don't know if realtime human messaging is virtue or vice. I like The FB Stream tho,4/16/09 3:42,0.03,0,0,0.03,0,0.015,-0.0952,-0.0448,0.0552,0.00180906,positive
Prague in the spring time!,4/20/09 7:47,0,0,0,0,0,0,0.029444444,0.004444444,0.007777778,0,neutral
Prague in spring!,4/20/09 7:47,0,0,0,0,0,0,0.05625,0,0.0225,0,neutral
